iter	Passed	Remaining
0	144	144240
1	149	74595
2	154	51351
3	159	39825
4	165	32909
5	169	28147
6	173	24548
7	175	21778
8	178	19605
9	180	17849
10	181	16360
11	183	15138
12	185	14114
13	187	13200
14	191	12582
15	193	11902
16	195	11296
17	196	10724
18	198	10233
19	199	9776
20	201	9405
21	203	9026
22	204	8677
23	205	8357
24	206	8064
25	208	7795
26	209	7541
27	210	7309
28	212	7099
29	213	6897
30	215	6740
31	217	6565
32	218	6397
33	219	6241
34	220	6091
35	222	5949
36	223	5817
37	224	5690
38	226	5571
39	227	5459
40	229	5357
41	230	5252
42	231	5156
43	232	5059
44	234	4968
45	235	4882
46	236	4801
47	238	4723
48	239	4648
49	240	4577
50	242	4508
51	243	4439
52	244	4374
53	246	4310
54	247	4248
55	248	4190
56	249	4135
57	252	4093
58	254	4052
59	255	4001
60	256	3954
61	258	3906
62	259	3859
63	260	3813
64	261	3768
65	263	3725
66	264	3682
67	265	3633
68	266	3592
69	268	3568
70	270	3541
71	272	3511
72	274	3480
73	275	3449
74	281	3474
75	283	3450
76	285	3422
77	286	3391
78	288	3360
79	290	3338
80	292	3315
81	294	3291
82	296	3270
83	297	3245
84	298	3215
85	300	3191
86	301	3161
87	302	3136
88	304	3114
89	305	3091
90	308	3076
91	309	3058
92	312	3048
93	314	3035
94	316	3019
95	318	3003
96	320	2982
97	321	2961
98	323	2942
99	324	2922
100	326	2903
101	326	2878
102	328	2858
103	329	2839
104	330	2820
105	332	2804
106	335	2796
107	336	2779
108	338	2767
109	340	2751
110	341	2735
111	342	2718
112	344	2701
113	345	2684
114	346	2669
115	347	2651
116	349	2636
117	350	2621
118	351	2604
119	353	2590
120	354	2576
121	356	2564
122	357	2545
123	358	2532
124	359	2519
125	361	2506
126	362	2494
127	363	2478
128	365	2466
129	366	2453
130	367	2440
131	369	2427
132	370	2414
133	371	2403
134	373	2392
135	374	2380
136	376	2369
137	377	2357
138	379	2350
139	380	2338
140	382	2330
141	383	2319
142	385	2309
143	386	2299
144	388	2289
145	389	2278
146	391	2270
147	392	2260
148	394	2250
149	395	2240
150	396	2231
151	398	2221
152	399	2211
153	401	2202
154	402	2192
155	403	2185
156	405	2176
157	406	2168
158	408	2158
159	409	2148
160	410	2138
161	411	2129
162	413	2120
163	414	2112
164	415	2103
165	417	2095
166	418	2089
167	421	2086
168	422	2078
169	424	2072
170	425	2064
171	427	2056
172	428	2048
173	429	2040
174	431	2032
175	432	2025
176	434	2018
177	435	2012
178	438	2012
179	440	2005
180	440	1995
181	442	1987
182	443	1979
183	444	1971
184	446	1966
185	447	1958
186	448	1951
187	450	1944
188	451	1937
189	452	1930
190	455	1928
191	456	1922
192	458	1916
193	459	1910
194	461	1904
195	462	1897
196	463	1891
197	465	1885
198	467	1881
199	468	1875
200	470	1870
201	471	1863
202	473	1857
203	474	1851
204	475	1844
205	476	1838
206	478	1832
207	479	1825
208	480	1819
209	482	1813
210	483	1807
211	484	1801
212	485	1794
213	487	1790
214	489	1786
215	490	1781
216	492	1776
217	493	1771
218	495	1766
219	496	1761
220	498	1756
221	499	1750
222	501	1747
223	503	1744
224	505	1740
225	506	1735
226	508	1730
227	511	1732
228	513	1727
229	515	1724
230	516	1719
231	522	1731
232	524	1726
233	526	1722
234	529	1724
235	532	1722
236	534	1719
237	535	1715
238	537	1711
239	538	1706
240	540	1701
241	541	1696
242	543	1692
243	544	1687
244	546	1682
245	547	1678
246	549	1674
247	550	1669
248	552	1665
249	553	1661
250	555	1657
251	559	1660
252	561	1657
253	563	1654
254	565	1651
255	567	1648
256	569	1646
257	573	1648
258	575	1645
259	579	1649
260	581	1647
261	584	1647
262	589	1652
263	592	1650
264	595	1650
265	597	1648
266	599	1645
267	600	1641
268	603	1639
269	605	1636
270	607	1634
271	610	1633
272	612	1630
273	613	1626
274	615	1621
275	616	1617
276	618	1613
277	619	1609
278	621	1606
279	622	1601
280	624	1597
281	626	1594
282	627	1590
283	629	1585
284	630	1581
285	631	1576
286	632	1571
287	633	1567
288	635	1562
289	636	1558
290	638	1555
291	639	1550
292	641	1546
293	642	1543
294	644	1540
295	645	1536
296	647	1532
297	648	1528
298	650	1524
299	651	1520
300	652	1515
301	653	1511
302	655	1507
303	656	1502
304	657	1498
305	658	1494
306	660	1489
307	661	1485
308	662	1481
309	663	1477
310	665	1474
311	666	1470
312	668	1466
313	669	1462
314	670	1458
315	671	1453
316	673	1450
317	674	1445
318	675	1441
319	676	1437
320	677	1433
